['28', '1662', 'Friday', '3422349381', '1', 'SPORTING GOODS', '5116']
['28', '8315', 'Saturday', '2000012864', '2', 'FROZEN FOODS', '1755']
['28', '8315', 'Saturday', '2310002452', '3', 'PETS AND SUPPLIES', '630']
['28', '8315', 'Saturday', '7910058371', '1', 'PETS AND SUPPLIES', '824']
['28', '8315', 'Saturday', '2310001779', '1', 'PETS AND SUPPLIES', '630']
['28', '8315', 'Saturday', '2310010364', '1', 'PETS AND SUPPLIES', '230']
['28', '8315', 'Saturday', '4400002735', '1', 'DSD GROCERY', '2651']
['28', '8315', 'Saturday', '2400050791', '1', 'PRODUCE', '6102']
['28', '8315', 'Saturday', '88491212611', '1', 'GROCERY DRY GOODS', '3555']
['28', '8315', 'Saturday', '4300002945', '1', 'GROCERY DRY GOODS', '3302']
['28', '8315', 'Saturday', '2310001407', '4', 'PETS AND SUPPLIES', '630']
['28', '8315', 'Saturday', '1410009997', '1', 'DSD GROCERY', '2557']
['28', '8315', 'Saturday', '81865500713', '1', 'SPORTING GOODS', '5702']
['28', '8315', 'Saturday', '7464100287', '1', 'PRODUCE', '5964']
['28', '8315', 'Saturday', '1410004190', '1', 'DSD GROCERY', '2562']
['28', '8315', 'Saturday', '3600037396', '1', 'HOUSEHOLD PAPER GOODS', '2098']
['28', '8315', 'Saturday', '7457065110', '1', 'FROZEN FOODS', '9110']
['28', '8426', 'Saturday', '7650137652', '1', 'SPORTING GOODS', '5113']
['28', '8426', 'Saturday', '3429904641', '1', 'BATH AND SHOWER', '4904']
['28', '8511', 'Saturday', '7825730404', '1', 'SPORTING GOODS', '5805']
['28', '8511', 'Saturday', '7572425199', '1', 'PERSONAL CARE', '6121']
['28', '8511', 'Saturday', '84417802722', '1', 'BEDDING', '2387']
['28', '8511', 'Saturday', '84417801919', '1', 'BEDDING', '4205']
['28', '8511', 'Saturday', '3408663825', '2', 'BEDDING', '6015']
['28', '8559', 'Saturday', '2863267095', '1', 'SPORTING GOODS', '301']
['28', '8896', 'Saturday', '7707103549', '2', 'SPORTING GOODS', '5111']
['28', '8896', 'Saturday', '4127197110', '1', 'FROZEN FOODS', '9100']
['28', '8896', 'Saturday', '4127197110', '1', 'FROZEN FOODS', '9100']
['28', '9439', 'Saturday', '7664220506', '2', 'SPORTING GOODS', '6115']
['28', '9439', 'Saturday', '35972648008', '3', 'PHARMACY OTC', '1122']
['28', '9439', 'Saturday', '35972647008', '3', 'PHARMACY OTC', '1122']
['28', '9989', 'Saturday', '7650138010', '1', 'SPORTING GOODS', '5115']
['28', '9989', 'Saturday', '84008511238', '1', 'LAWN AND GARDEN', '102']
['28', '10050', 'Saturday', '489396611908', '1', 'MENS WEAR', '229']
['28', '10050', 'Saturday', '489396608966', '1', 'MENS WEAR', '229']
['28', '10050', 'Saturday', '81463201099', '1', 'SPORTING GOODS', '5228']
['28', '10179', 'Saturday', '68113105206', '1', 'PERSONAL CARE', '3186']
['28', '10179', 'Saturday', '88678300142', '1', 'SPORTING GOODS', '5048']
['28', '10179', 'Saturday', '3700021849', '1', 'PERSONAL CARE', '3120']
['28', '10179', 'Saturday', '4200096362', '1', 'HOUSEHOLD PAPER GOODS', '3030']
['28', '10179', 'Saturday', '68113105205', '1', 'PERSONAL CARE', '3186']
['28', '10179', 'Saturday', '88678300140', '1', 'SPORTING GOODS', '5048']
['28', '10179', 'Saturday', '63123440003', '1', 'LIQUOR,WINE,BEER', '1100']
['28', '10179', 'Saturday', '3800084522', '1', 'DSD GROCERY', '3353']
['28', '10321', 'Saturday', '63050927006', '1', 'TOYS', '2004']
['28', '10321', 'Saturday', '4282334074', '1', 'CELEBRATION', '6']
['28', '10321', 'Saturday', '7650192219', '1', 'SPORTING GOODS', '5018']
['28', '10321', 'Saturday', '61884221867', '1', 'SPORTING GOODS', '5018']
['28', '10321', 'Saturday', '5638908313', '1', 'SPORTING GOODS', '5025']
['28', '10321', 'Saturday', '5638908313', '1', 'SPORTING GOODS', '5025']
['28', '10321', 'Saturday', '2241598370', '1', 'BEDDING', '6032']
['28', '10321', 'Saturday', '4650021988', '1', 'SPORTING GOODS', '5092']
['28', '10321', 'Saturday', '3400000006', '2', 'IMPULSE MERCHANDISE', '145']
['28', '10321', 'Saturday', '1200000131', '1', 'DSD GROCERY', '9547']
['28', '10321', 'Saturday', '36809333130', '2', 'SPORTING GOODS', '5092']
['28', '11492', 'Saturday', '72326163277', '1', 'SHOES', '4820']
['28', '11492', 'Saturday', '7825731869', '1', 'SPORTING GOODS', '5805']
['28', '11492', 'Saturday', '81891401566', '1', 'COOK AND DINE', '3925']
['28', '11492', 'Saturday', '9404612005', '1', 'COOK AND DINE', '3000']
['28', '11492', 'Saturday', '', '1', 'NULL', '']
['28', '12753', 'Saturday', '3422342185', '1', 'SPORTING GOODS', '5117']
['28', '12753', 'Saturday', '7865268305', '1', 'HOME MANAGEMENT', '8922']
['28', '12864', 'Saturday', '7160306850', '1', 'BEAUTY', '3508']
['28', '12864', 'Saturday', '2096860770', '1', 'SPORTING GOODS', '5090']
['28', '12864', 'Saturday', '7160352900', '1', 'BEAUTY', '3503']
['28', '12864', 'Saturday', '1326141871', '1', 'BOYS WEAR', '4648']
['28', '12904', 'Sunday', '73608079007', '1', 'SLEEPWEAR/FOUNDATIONS', '6071']
['28', '12904', 'Sunday', '88530628536', '1', 'MENS WEAR', '1801']
['28', '12904', 'Sunday', '1200000159', '2', 'DSD GROCERY', '9211']
['28', '12904', 'Sunday', '63653311424', '1', 'SPORTING GOODS', '5801']
['28', '12904', 'Sunday', '7650111133', '1', 'SPORTING GOODS', '5803']
['28', '12904', 'Sunday', '73608079019', '1', 'SLEEPWEAR/FOUNDATIONS', '6071']
['28', '13203', 'Sunday', '7874201456', '1', 'HOUSEHOLD PAPER GOODS', '5510']
['28', '13203', 'Sunday', '2800051780', '2', 'GROCERY DRY GOODS', '2707']
['28', '13203', 'Sunday', '3422344880', '1', 'SPORTING GOODS', '5114']
['28', '13203', 'Sunday', '4900002870', '1', 'DSD GROCERY', '9214']
['28', '13333', 'Sunday', '7650139351', '1', 'SPORTING GOODS', '5113']
['28', '13333', 'Sunday', '4900001679', '1', 'DSD GROCERY', '9546']
['28', '13333', 'Sunday', '2200000898', '1', 'IMPULSE MERCHANDISE', '135']
['28', '13566', 'Sunday', '31254720432', '1', 'PHARMACY OTC', '1356']
['28', '13566', 'Sunday', '2905733918', '1', 'SPORTING GOODS', '1707']
['28', '13566', 'Sunday', '4616209236', '1', 'SPORTING GOODS', '2701']
['28', '13566', 'Sunday', '2905734804', '1', 'SPORTING GOODS', '1707']
['28', '13566', 'Sunday', '2905734511', '1', 'SPORTING GOODS', '1707']
['28', '13759', 'Sunday', '69381349997', '1', 'SPORTING GOODS', '5009']
['28', '13759', 'Sunday', '63653311945', '1', 'SPORTING GOODS', '5801']
['28', '13759', 'Sunday', '4650021988', '1', 'SPORTING GOODS', '5092']
['28', '13988', 'Sunday', '7874201522', '1', 'DSD GROCERY', '4654']
['28', '13988', 'Sunday', '3422343728', '1', 'SPORTING GOODS', '5105']
['28', '13988', 'Sunday', '4180030148', '1', 'DSD GROCERY', '4654']
['28', '13988', 'Sunday', '6827492714', '1', 'DSD GROCERY', '9214']
['28', '13988', 'Sunday', '1070070259', '1', 'IMPULSE MERCHANDISE', '125']
['28', '13988', 'Sunday', '79450475973', '1', 'SPORTING GOODS', '5705']
['28', '14111', 'Sunday', '7685570168', '1', 'PHARMACY OTC', '1703']
['28', '14111', 'Sunday', '4770801559', '1', 'SPORTING GOODS', '705']
['28', '14111', 'Sunday', '4506340928', '1', 'SPORTING GOODS', '718']
['28', '14111', 'Sunday', '3278461127', '2', 'SPORTING GOODS', '269']
['28', '14111', 'Sunday', '2840042061', '1', 'IMPULSE MERCHANDISE', '808']
['28', '14111', 'Sunday', '4900002870', '1', 'DSD GROCERY', '9214']
['28', '14111', 'Sunday', '2840001775', '1', 'DSD GROCERY', '3658']
['28', '14111', 'Sunday', '3278458674', '1', 'SPORTING GOODS', '501']
['28', '14111', 'Sunday', '1727622698', '1', 'PHARMACY OTC', '3515']
['28', '14111', 'Sunday', '4770861513', '1', 'SPORTING GOODS', '607']
['28', '14111', 'Sunday', '3877502066', '1', 'SPORTING GOODS', '733']
['28', '14111', 'Sunday', '2863252153', '1', 'SPORTING GOODS', '3223']
['28', '14111', 'Sunday', '695334428100', '1', 'ACCESSORIES', '122']
['28', '14111', 'Sunday', '2264300826', '1', 'SPORTING GOODS', '8110']
['28', '14111', 'Sunday', '75198100525', '1', 'SPORTING GOODS', '3203']
['28', '14111', 'Sunday', '4770811707', '1', 'SPORTING GOODS', '608']
['28', '14180', 'Sunday', '4900000044', '1', 'DSD GROCERY', '9546']
['28', '14180', 'Sunday', '87433500053', '1', 'SPORTING GOODS', '5303']
['28', '14180', 'Sunday', '81742701250', '2', 'SPORTING GOODS', '5703']
['28', '14324', 'Sunday', '3278458670', '1', 'SPORTING GOODS', '501']
['28', '14324', 'Sunday', '3278461722', '1', 'SPORTING GOODS', '301']
['28', '14324', 'Sunday', '2863204624', '1', 'SPORTING GOODS', '3332']
['28', '14705', 'Sunday', '3422343858', '1', 'SPORTING GOODS', '5105']
['28', '14705', 'Sunday', '7874207011', '1', 'HOUSEHOLD PAPER GOODS', '6030']
['28', '14705', 'Sunday', '7874205782', '1', 'HOUSEHOLD PAPER GOODS', '6020']
['28', '14705', 'Sunday', '692242481463', '1', 'BATH AND SHOWER', '702']
['28', '14814', 'Sunday', '88369890077', '1', 'SPORTING GOODS', '5048']
['28', '14814', 'Sunday', '88561522938', '1', 'SLEEPWEAR/FOUNDATIONS', '6040']
['28', '14814', 'Sunday', '4900002620', '1', 'DSD GROCERY', '9546']
['28', '14814', 'Sunday', '89299200286', '1', 'IMPULSE MERCHANDISE', '338']
['28', '15843', 'Sunday', '81698301588', '1', 'IMPULSE MERCHANDISE', '350']
['28', '15843', 'Sunday', '4650073175', '1', 'IMPULSE MERCHANDISE', '337']
['28', '15843', 'Sunday', '3013471221', '1', 'HORTICULTURE AND ACCESS', '390']
['28', '15843', 'Sunday', '4616209236', '1', 'SPORTING GOODS', '2701']
['28', '15954', 'Sunday', '7825730142', '1', 'SPORTING GOODS', '5805']
['28', '15954', 'Sunday', '88530627817', '1', 'MENS WEAR', '5143']
['28', '17034', 'Sunday', '3294304492', '1', 'SPORTING GOODS', '3248']
['28', '17034', 'Sunday', '87904400171', '1', 'SPORTING GOODS', '3201']
['28', '17034', 'Sunday', '2055403140', '1', 'SPORTING GOODS', '3261']
['28', '17034', 'Sunday', '5187514025', '1', 'SPORTING GOODS', '3260']
['28', '17034', 'Sunday', '2863265047', '1', 'SPORTING GOODS', '3201']
['28', '17034', 'Sunday', '3294304493', '1', 'SPORTING GOODS', '3248']
['28', '17034', 'Sunday', '8394105823', '1', 'SPORTING GOODS', '701']
['28', '17871', 'Sunday', '4721808317', '1', 'HOME DECOR', '5501']
['28', '17871', 'Sunday', '75481909960', '1', 'MENS WEAR', '1727']
['28', '17871', 'Sunday', '4740030730', '1', 'PERSONAL CARE', '55']
['28', '17871', 'Sunday', '7825730142', '1', 'SPORTING GOODS', '5805']
['28', '18007', 'Sunday', '38151900039', '1', 'PERSONAL CARE', '5330']
['28', '18007', 'Sunday', '5200032069', '1', 'DSD GROCERY', '4606']
['28', '18007', 'Sunday', '4770811277', '1', 'SPORTING GOODS', '625']
['28', '18007', 'Sunday', '7650139348', '1', 'SPORTING GOODS', '5105']
['28', '19145', 'Sunday', '8394105063', '1', 'SPORTING GOODS', '501']
['28', '19145', 'Sunday', '84730900720', '1', 'SPORTING GOODS', '201']
['28', '19145', 'Sunday', '4770862215', '1', 'SPORTING GOODS', '616']
['28', '19145', 'Sunday', '3877503117', '1', 'SPORTING GOODS', '731']
['28', '19942', 'Monday', '7707103549', '2', 'SPORTING GOODS', '5111']
['28', '19942', 'Monday', '7707103549', '10', 'SPORTING GOODS', '5111']
['28', '20366', 'Monday', '4770805680', '1', 'SPORTING GOODS', '607']
['28', '20366', 'Monday', '8227111108', '1', 'SPORTING GOODS', '953']
['28', '20366', 'Monday', '3877503117', '1', 'SPORTING GOODS', '731']
['28', '20366', 'Monday', '3278460625', '1', 'SPORTING GOODS', '299']
['28', '20418', 'Monday', '4650001849', '1', 'SPORTING GOODS', '5092']
['28', '20418', 'Monday', '1258770355', '1', 'HOUSEHOLD PAPER GOODS', '235']
['28', '20418', 'Monday', '3890002060', '1', 'GROCERY DRY GOODS', '2764']
['28', '20418', 'Monday', '3422359023', '1', 'SPORTING GOODS', '5102']
['28', '20418', 'Monday', '64748404333', '1', 'SPORTING GOODS', '5312']
['28', '20418', 'Monday', '3800012290', '2', 'DSD GROCERY', '3353']
['28', '22347', 'Monday', '4650021988', '1', 'SPORTING GOODS', '5092']
['28', '22347', 'Monday', '78937439138', '1', 'MENS WEAR', '5428']
['28', '22347', 'Monday', '7825731538', '1', 'SPORTING GOODS', '5805']
['28', '24782', 'Monday', '7373107130', '1', 'COMM BREAD', '3735']
['28', '24782', 'Monday', '22616800000', '1', 'MEAT - FRESH & FROZEN', '6405']
['28', '24782', 'Monday', '3338366602', '1', 'PRODUCE', '7700']
['28', '24782', 'Monday', '4688', '1', 'PRODUCE', '8103']
['28', '24782', 'Monday', '3710268600', '1', 'PRODUCE', '6930']
['28', '24782', 'Monday', '68113132946', '1', 'PRODUCE', '6810']
['28', '24782', 'Monday', '7707100062', '3', 'SPORTING GOODS', '5111']
['28', '24782', 'Monday', '78113870416', '1', 'GROCERY DRY GOODS', '1104']
['28', '25545', 'Monday', '2260095321', '1', 'PHARMACY OTC', '4501']
['28', '25545', 'Monday', '3700086502', '1', 'HOUSEHOLD PAPER GOODS', '3050']
['28', '25545', 'Monday', '7825731904', '1', 'SPORTING GOODS', '5805']
['28', '25545', 'Monday', '3700022879', '1', 'PERSONAL CARE', '203']
['28', '25545', 'Monday', '7825730838', '1', 'SPORTING GOODS', '5806']
['28', '25830', 'Tuesday', '4338830599', '1', 'SPORTING GOODS', '301']
['28', '25830', 'Tuesday', '2775205511', '1', 'SPORTING GOODS', '3324']
['28', '26184', 'Tuesday', '68113191699', '1', 'SERVICE DELI', '7100']
['28', '26184', 'Tuesday', '7464100287', '1', 'PRODUCE', '5964']
['28', '26184', 'Tuesday', '7825731904', '1', 'SPORTING GOODS', '5805']
['28', '26216', 'Tuesday', '7231000162', '1', 'GROCERY DRY GOODS', '3352']
['28', '26216', 'Tuesday', '5638901311', '1', 'SPORTING GOODS', '5007']
['28', '26216', 'Tuesday', '64748403704', '1', 'SPORTING GOODS', '5510']
['28', '26216', 'Tuesday', '5638900044', '1', 'SPORTING GOODS', '5016']
['28', '26216', 'Tuesday', '81271301872', '1', 'SPORTING GOODS', '5020']
['28', '26216', 'Tuesday', '75025480498', '1', 'SPORTING GOODS', '5030']
['28', '26216', 'Tuesday', '8079380845', '1', 'DSD GROCERY', '9556']
['28', '26216', 'Tuesday', '7874206982', '1', 'GROCERY DRY GOODS', '3031']
['28', '26216', 'Tuesday', '3500056685', '1', 'PERSONAL CARE', '201']
['28', '26216', 'Tuesday', '1600046145', '1', 'GROCERY DRY GOODS', '3031']
['28', '26216', 'Tuesday', '5638909617', '1', 'SPORTING GOODS', '5008']
['28', '26216', 'Tuesday', '5206600004', '1', 'GROCERY DRY GOODS', '2255']
['28', '26216', 'Tuesday', '1600029860', '1', 'GROCERY DRY GOODS', '3554']
['28', '26216', 'Tuesday', '1142394098', '1', 'SPORTING GOODS', '5092']
['28', '26216', 'Tuesday', '2820031042', '1', 'CANDY, TOBACCO, COOKIES', '8018']
['28', '26216', 'Tuesday', '81050601014', '1', 'PRODUCE', '1214']
['28', '26216', 'Tuesday', '4178900214', '5', 'GROCERY DRY GOODS', '3105']
['28', '26216', 'Tuesday', '1600043102', '1', 'GROCERY DRY GOODS', '3554']
['28', '26216', 'Tuesday', '3600011976', '1', 'IMPULSE MERCHANDISE', '8242']
['28', '26216', 'Tuesday', '5206600003', '1', 'GROCERY DRY GOODS', '2255']
['28', '26216', 'Tuesday', '733003320793', '10', 'SPORTING GOODS', '5040']
['28', '26216', 'Tuesday', '7874204702', '1', 'DSD GROCERY', '3563']
['28', '26461', 'Tuesday', '68113189617', '1', 'FINANCIAL SERVICES', '0']
['28', '26461', 'Tuesday', '4770805654', '1', 'SPORTING GOODS', '608']
['28', '26461', 'Tuesday', '4770861513', '1', 'SPORTING GOODS', '607']
['28', '26461', 'Tuesday', '3877503115', '1', 'SPORTING GOODS', '731']
['28', '26461', 'Tuesday', '3278458667', '1', 'SPORTING GOODS', '501']
['28', '26461', 'Tuesday', '4338812772', '1', 'SPORTING GOODS', '407']
['28', '26461', 'Tuesday', '3278457318', '1', 'SPORTING GOODS', '202']
['28', '26461', 'Tuesday', '4338812077', '1', 'SPORTING GOODS', '405']
['28', '26461', 'Tuesday', '8394105790', '1', 'SPORTING GOODS', '736']
['28', '27674', 'Tuesday', '64282813069', '1', 'HOME DECOR', '214']
['28', '27674', 'Tuesday', '3660081091', '1', 'PHARMACY OTC', '1181']
['28', '27674', 'Tuesday', '711970000020', '1', 'HOME MANAGEMENT', '8125']
['28', '27674', 'Tuesday', '81742701125', '1', 'SPORTING GOODS', '5702']
['28', '27674', 'Tuesday', '3886109328', '1', 'HOME MANAGEMENT', '1066']
['28', '28146', 'Tuesday', '1300000466', '-1', 'GROCERY DRY GOODS', '2301']
['28', '28146', 'Tuesday', '1300000218', '1', 'GROCERY DRY GOODS', '2302']
['28', '28146', 'Tuesday', '60958520001', '1', 'HARDWARE', '8205']
['28', '28146', 'Tuesday', '3873955021', '1', 'SPORTING GOODS', '5211']
['28', '28146', 'Tuesday', '4318001892', '1', 'HARDWARE', '8210']
['28', '28146', 'Tuesday', '3916610429', '1', 'HARDWARE', '5809']
['28', '28146', 'Tuesday', '1300000466', '2', 'GROCERY DRY GOODS', '2301']
['28', '28146', 'Tuesday', '4318058115', '1', 'HARDWARE', '8205']
['28', '28332', 'Tuesday', '73385497816', '2', 'BEAUTY', '3100']
['28', '28332', 'Tuesday', '22841800000', '1', 'MEAT - FRESH & FROZEN', '6353']
['28', '28332', 'Tuesday', '2570071143', '1', 'HOUSEHOLD PAPER GOODS', '6030']
['28', '28332', 'Tuesday', '79450475963', '1', 'SPORTING GOODS', '5705']
['28', '28332', 'Tuesday', '3146259518', '1', 'LAWN AND GARDEN', '2605']
['28', '28332', 'Tuesday', '4074', '1', 'PRODUCE', '4160']
['28', '28332', 'Tuesday', '3400000843', '1', 'IMPULSE MERCHANDISE', '135']
['28', '28332', 'Tuesday', '7464100427', '1', 'PRODUCE', '5910']
['28', '28332', 'Tuesday', '1480000184', '1', 'GROCERY DRY GOODS', '2505']
['28', '28332', 'Tuesday', '7187154860', '1', 'PRE PACKED DELI', '7199']
['28', '28332', 'Tuesday', '2200000484', '1', 'IMPULSE MERCHANDISE', '135']
['28', '28438', 'Tuesday', '3422344884', '1', 'SPORTING GOODS', '5105']
['28', '28438', 'Tuesday', '1780016538', '1', 'PETS AND SUPPLIES', '806']
['28', '28438', 'Tuesday', '7874212204', '1', 'DSD GROCERY', '3560']
['28', '28438', 'Tuesday', '7874235186', '1', 'DAIRY', '1508']
['28', '28438', 'Tuesday', '7874212204', '1', 'DSD GROCERY', '3560']
['28', '29179', 'Tuesday', '4650081846', '1', 'SPORTING GOODS', '5092']
['28', '29179', 'Tuesday', '84409303489', '1', 'SPORTING GOODS', '5704']
['28', '29355', 'Tuesday', '1600016893', '1', 'GROCERY DRY GOODS', '3554']
['28', '29355', 'Tuesday', '7641090098', '1', 'DSD GROCERY', '3711']
['28', '29355', 'Tuesday', '81742701196', '1', 'SPORTING GOODS', '5215']
['28', '29411', 'Tuesday', '4120567804', '1', 'SPORTING GOODS', '5023']
['28', '29411', 'Tuesday', '80240400449', '1', 'HOME MANAGEMENT', '8103']
['28', '29411', 'Tuesday', '30041668097', '1', 'PERSONAL CARE', '403']
['28', '30196', 'Tuesday', '3700087076', '1', 'INFANT CONSUMABLE HARDLINES', '9009']
['28', '30196', 'Tuesday', '7650109770', '1', 'SPORTING GOODS', '5805']
['28', '30196', 'Tuesday', '4400003213', '1', 'IMPULSE MERCHANDISE', '804']
['28', '30196', 'Tuesday', '1200000452', '1', 'DSD GROCERY', '3405']
['28', '30196', 'Tuesday', '7650109768', '1', 'SPORTING GOODS', '5806']
['28', '30196', 'Tuesday', '64328106155', '1', 'PHARMACY OTC', '1780']
['28', '30196', 'Tuesday', '4011', '1', 'PRODUCE', '5501']
['28', '30196', 'Tuesday', '3700086346', '1', 'INFANT CONSUMABLE HARDLINES', '212']
['28', '30782', 'Tuesday', '7865278305', '1', 'HOME MANAGEMENT', '8956']
['28', '30782', 'Tuesday', '61126981899', '1', 'DSD GROCERY', '3467']
['28', '30782', 'Tuesday', '3422343728', '2', 'SPORTING GOODS', '5105']
['28', '30782', 'Tuesday', '7602630671', '1', 'COOK AND DINE', '2067']
['28', '30782', 'Tuesday', '6128251040', '1', 'SPORTING GOODS', '5102']
['28', '30782', 'Tuesday', '2840042073', '1', 'IMPULSE MERCHANDISE', '808']
['28', '31096', 'Tuesday', '7874208463', '1', 'FROZEN FOODS', '1850']
['28', '31096', 'Tuesday', '7825730142', '2', 'SPORTING GOODS', '5805']
['28', '31096', 'Tuesday', '22093300000', '1', 'MEAT - FRESH & FROZEN', '1301']
